,author id,author name,category name,description,duration,hits,publication_ts,title,video_url,channel_id,total_subs,channel_desc,num_of_videos,url,likes_count,comments_count
0,30334416,Александр Семченко,Разное,"Подписаться на Телеграм-канал: https://t.me/AleksandrSemchenko

ПОМОЧЬ КАНАЛУ: 2200 7007 7404 5933

Яндекс-кошелёк 410011296594237, прямая ссылка - https://yoomoney.ru/to/410011296594237

Мой рутуб: https://rutube.ru/video/2516bb3718b0f9156011baa0fc21c6ea/?r=a

Дзен: https://dzen.ru/id/63f4ae605b2bea22b7350df8",261,35176,2025-01-29T16:22:59,Сводка за 29-01-2025🔴Россия взяла под контроль все острова в нижнем течении Днепра,https://rutube.ru/video/45791b2926eb25fc1ec9f1a958e722bd/,30334416.0,85021.0,"Подписывайтесь на Телеграм-канал: https://t.me/+PALOml4HWlk0N2U6  Мой юутуб: https://www.youtube.com/@aleksandrsemchenko8346/featured  Дзен: https://dzen.ru/id/63f4ae605b2bea22b7350df8  Яндекс-кошелёк 410011296594237, прямая ссылка -  https://money.yandex.ru/to/410011296594237 ПОМОЧЬ КАНАЛУ: 2200 7007 7404 5933  https://knd.gov.ru/license? id=673603857de0911509ed166b&registryType=bloggersPermission Номер заявления в РКН: 4796165234",1313.0,,,
1,11234072,Телеканал ТНТ,Юмор,"Все легенды современного юмора на сцене Comedy Club!

Смотри #ComedyClub по пятницам в 21:00 на #ТНТ!

Производство: Comedy Club Production

Телеканал ТНТ в соц. сетях:
Inst: https://www.instagram.com/tnt_online/
Vk: https://vk.com/tnt

Comedy Club в соц. сетях:
Youtube: https://www.youtube.com/channel/UCsIEFXNO4bxh0hW3-_z2-0g
Inst: https://www.instagram.com/comedyclubru
Vk: https://vk.com/tvcomedy

Гарик Харламов 
https://t.me/garbul
https://vk.com/garikharlamov

Павел Воля
https://t.me/pvolya
https://vk.com/realvolya",974,112131,2025-01-29T11:00:18,"Comedy Club: Петросян в Comedy Club | ОВР Шоу, Уральские пельмени, Аншлаг",https://rutube.ru/video/495952256f87f925b984c09f0b26e549/,11234072.0,134480.0,Официальный канал ТНТ!  Номер заявки в реестре Роскомнадзора - 4926984183  Только самый лучший юмористический и развлекательный контент!  Телеканал ТНТ в соцсетях: Telegram: https://t.me/TNT_television ВКонтакте: https://vk.com/tnt,1442.0,,,
2,32078240,Егор Мисливец,Новости и СМИ,Телеграм Мисливец Егор: https://t.me/socedinstvo,768,74444,2025-01-29T16:40:01,"Трамп рассекретил все документы убийства Кеннеди. Кто на самом деле убил Кеннеди. Тайна, которая...",https://rutube.ru/video/378ea2714bc6d1d9835d9ad2af1ce81a/,32078240.0,70678.0,№ 4974982675,155.0,,,
3,24112351,Барабекус Мир танков,Видеоигры,"Эти ошибки допускают все, но не считают ошибками. Хотя они и есть причина частых турбачей. Исправить легко!
📌 Канал в Телеграм - https://t.me/Barabekus_MirTankov
📌 Группа Барабекус ""Вконтакте"" - https://vk.com/Barabekus 
📌 Ссылка на донаты – на добрые дела https://www.donationalerts.com/r/barabekus_wot 

Тэги: Мир танков, гайд, обзор, wot, world of tanks, Карта, карт, карты, как играть, куда ехать, шикарная, лучшая, позиция, оборудование, экипаж, тактика, обзор, вот, эксперимент, позиция, позиции, стоит ли, брать, покупать, как зарабатывает, фарм, сколько, Линия Маннергейма,",609,24169,2025-01-28T18:30:15,ПЛЮС 2-3% К ПОБЕДАМ: курс повышения квалификации ПТ. Новичку и ветерану. Лишние ошибки. Мир танков,https://rutube.ru/video/a135819f3acec5cb3458170fc37a6efb/,24112351.0,33666.0,"Учебные видео по игре Мир танков. Группа ""Барабекус"" в ВКонтакте https://vk.com/Barabekus . Канал ""Барабекус"" в Телеграм https://t.me/Barabekus_MirTankov. Канал ""Барабекус - стримы"" на РуТуб  -> https://rutube.ru/channel/55775403/  Включён в реестр РКН. Уникальная ссылка https://knd.gov.ru/license?id=6759637331a9292acd8b490b&registryType=bloggersPermission",143.0,https://rutube.ru/video/a135819f3acec5cb3458170fc37a6efb/,2622.0,199.0
4,295588,Тамир Шейх,Политика,,358,36004,2025-01-29T10:13:25,ФРОНТ РУХНУЛ!! ИНФОРМАЦИОННЫЙ Нелигитимная нелигитимность,https://rutube.ru/video/48f9b98dca44aa63e2b87281ec4fde00/,295588.0,81194.0,РКН ссылка на реестр https://knd.gov.ru/license? id=673a1d1c772bb113f52c6404&registryType=bloggersPermission  Мой канал на ютубе https://www.youtube.com/channel/UCt3h-Y9FO9-21KD6g3x24XA,2354.0,https://rutube.ru/video/48f9b98dca44aa63e2b87281ec4fde00/,2768.0,108.0
5,11911032,Олеся Грибок,Развлечения,"«Не смотрел, но обсуждаю» - единственный подкаст, где ты можешь легально не смотреть, но обсуждать российское кино и сериалами с актерами этих проектов

00:00 - обновление образа и новые проекты Саши
03:03 - влияние авторского кино
04:20 - играть в кадре или быть собой?
10:11 - трейлер сериала ""Разрешите обратиться""
12:30 - о чем сериал для Саши и ее героини Вари
15:37 - какой путь проходит героиня в сериале
23:09 - фатализм и знаки судьбы — в кино и в жизни
28:58 - что происходит с Варей в сериале
33:15 - как проходило Сашино ""взросление"" в кино 
35:25 - все про постельные сцены в кино
41:11 - как не зависеть от мнения окружающих
47:21 - мистика на съемках и знаки судьбы
50:13 - переход из танцевальной карьеры в актерскую
52:46 - изменение стиля для секретного проекта 
54:24 - влияние семьи на внутреннюю энергию
57:03 - учеба в ГИТИСе и на журфаке
01:02:20 - пожелание и напутствие от Саши",3830,16346,2025-01-29T14:56:17,"Об индивидуальности и стереотипах: Александра Киселева, актриса сериала ""Разрешите обратиться""",https://rutube.ru/video/b9ce0128e97b9effba652884cad7d24c/,11911032.0,7027.0,"Мать всех актеров, амбассадор RUTUBE Оставайся и подписывайся! Слушай мой трек ""Отвали"" на всех площадках! https://band.link/OlesyGribok_Otvali   📚 Книга «Продвижение киноактера. Как построить карьеру в кино и не сойти с ума»! Ссылка на заказ: https://clck.ru/39a7Dz    🔔Cообщеcтво AKTERAM PRO  akteram.com/pro  Пройти тест-диагностику актерской карьеры БЕСПЛАТНО akteram.com/test  Заказать актерскую видео-визитку: https://akteram.com/vizitka  Найти актеров для ваших проектов. Если ты актер, регистрируйся на сайте akteram.com , это АБСОЛЮТНО бесплатно. https://akteram.com/  По вопросам рекламы  +7 926 799 6676 Мария (только Telegram)",142.0,https://rutube.ru/video/b9ce0128e97b9effba652884cad7d24c/,38.0,19.0
6,27157194,Наизнанку,Развлечения,"Европейская свобода слова.

Понравился видос? Поддержи амиго ⤵️ 
🎁Прямой перевод на карту 💳 Альфа-Банка РФ:
2200 1502 2405 9680
🎁 DonationAlerts  Донатики с любых карт и стран:
https://www.donationalerts.com/r/spaininside
🎁 Подписка на Boosty и ранний доступ.
Boosty: https://boosty.to/insideout

💾 Ресурсы: 
Boosty: https://boosty.to/insideout
Rutube: https://rutube.ru/u/naiznanku
Дзен: https://dzen.ru/yanaiznanku
Теперь мой контент в VK Видео: https://vk.com/amigonaiznanku
YouTube: https://www.youtube.com/@naiznanku
Telegram: https://t.me/realspaininsideout

📨 По рекламе  ispania@surfluence.com

#испания #наизнанку #новости
КАК КОРЕЖИЛО ЕВРОКОМИССИЮ ИЛИ СВОБОДА СЛОВА | ПРИНЦИПИАЛЬНАЯ КОЛУМБИЯ

Испания Наизнанку.",324,61223,2025-01-29T10:01:02,КАК КОРЕЖИЛО ЕВРОКОМИССИЮ ИЛИ СВОБОДА СЛОВА | ПРИНЦИПИАЛЬНАЯ КОЛУМБИЯ,https://rutube.ru/video/ef0aeb61442ef33f5993879a6fbc11de/,27157194.0,45942.0,"Тот самый Наизнанку, тот самый Hola Amigos Новости через призму Хаоса этого мира! Сложно о простом! С юмором о грустном!  Youtube: https://www.youtube.com/channel/UCA3jR3BQqsELA-78mLWUVAQ Дзен: https://dzen.ru/id/609aecae452a9b727ab2f57d  По сотрудничеству и рекламе  ispania@surfluence.com  РКН: https://knd.gov.ru/license?id=673b351e340096358baed058&registryType=bloggersPermission",1092.0,,,
7,26070292,Igor Koposov Игорь Копосов 伊戈尔,Лайфстайл,"Китайский Новый Год 2025 в Москве. Красная площадь. Манежная и Тверская площади. Первая часть. 新春快乐! 过年好！
Поздравление с Китайским Новым годом:
祝您以及您的家人
身体健康，万事如意
阖家幸福，大吉大利
蛇年吉祥，财源滚滚
平安喜乐，诸事顺遂
Взаимный культурный обмен: как пройдет фестиваль «Китайский Новый год в Москве»
В столице 28 января во второй раз откроется популярный фестиваль «Китайский Новый год в Москве». Он состоится в рамках Годов культуры России и Китая, проводимых в 2024–2025 годах по решению лидеров государств. Жителей и гостей города ждет насыщенная событийная и гастрономическая программа: всех желающих познакомят с яркими традициями дружественной страны.
Москвичи и туристы смогут посетить тематические мастер-классы и выставки, попробовать блюда китайской кухни и приобрести сувениры. В этом году главной точкой притяжения гостей станет Манежная площадь. Кроме того, в числе фестивальных площадок — ВДНХ, Московский зоопарк, парк развлечений «Остров мечты» и другие популярные места столицы. В традиционном китайском стиле украсят центральные улицы города.
https://www.mos.ru/news/item/148845073/",953,9586,2025-01-28T16:21:01,Китайский Новый Год 2025 в Москве. Красная площадь. Манежная и Тверская площади. Первая часть. 新春快乐,https://rutube.ru/video/e57306d096fc700aa8531a716063ea9e/,26070292.0,1926.0,"Медитативные прогулки по  разным городам и странам со звуками улицы. Без сценария, без монтажа, без прикрас, без комментариев - ничего лишнего.  Виртуальное посещение различных мест.  Пройдитесь ещё раз по знакомым вам местам, возможно вы упустили какие-то интересные детали. Повторите мой маршрут.  Побывайте в том или ином месте вместе с автором канала. Игорь Копосов. Igor Koposov. 25-ти летний опыт работы с Китаем. igorkoposov.com  Китай. Промышленное/индустриальное видео. Industrial Video. Короткие зарисовки о Китае, России. Культура, традиции, люди, китайский язык, города, деревни, китайская кухня, китайский чай, путешествие по Китаю, промышленный (индустриальный) Китай, образование, китайская гимнастика, технологии, заводы, производство, музыка. Short videos about China. Habits, traditions, Chinese tea, culture, people, cities, Chinese language, education, industrial tourism, technology, plants, factories, music, medicine.  kitairu.net;  Телеграм-канал: @kitairunet Бизнес с Китаем.",232.0,https://rutube.ru/video/e57306d096fc700aa8531a716063ea9e/,134.0,22.0
8,272109,Katya Konasova,Разное,"В этом видео я расскажу о самых страшных трагедиях, связанных с культами, которые потрясли мир. От событий в Джонстауне, где 909 человек, включая детей, выпили смертельный напиток по приказу лидера культа Джима Джонса, до жутких случаев Ордена Храма Солнца, верящих в переселение на Сириус. Также о культе ""Небесные врата"", члены которого стремились ""покинуть Землю"" в ожидании космического корабля.

Мы обсудим, как лидеры культов манипулировали своими последователями, полностью подчиняли их волю и обещали утопический мир или спасение в ином измерении. Вы также узнаете о менее известных, но не менее шокирующих событиях: трагедии в Уганде, связанной с сектой ""Движение за возрождение десяти заповедей Бога"", и радикальном голодании в кенийском культе ""Международное служение хороших новостей"".

Также поговорим о современных методах вербовки, которые делают деструктивные культы ещё более опасными. Что заставляет людей присоединяться к таким сообществам и как онлайн-сообщества стали новым инструментом для привлечения последователей.",1554,37426,2025-01-28T16:28:57,ЗАПРЕЩЕННЫЕ КУЛЬТЫ: Как людей сводили с ума?,https://rutube.ru/video/897cf0e9cb54285b99c3378796bbbae2/,272109.0,29992.0,"Говорю то, о чём другие молчат! Я Катя Конасова. Добро пожаловать на мой канал. Здесь я воплощаю свои мысли и идеи в видео!   Мой личный ТГ канал: https://t.me/KonasovaTut Новостной ТГ канал #ПроектШмеля: https://t.me/ProektShmel   • Разоблачаю обманы и мошенничество • Рассказываю о новинках бьюти-индустрии: косметике, косметологии, трендах • Обсуждаю волнующее • Держу руку на пульсе самых безумных зашкваров блогеров и звезд • Проверяю инфопродукты и провожу потребительскую проверку брендов • Обсуждаю популярную литературу о саморазвитии • Тренирую критическое мышление  Делюсь своим мнением и всегда рада узнать ваше ❤️  С вас лайк и подписка, с меня новые интересные видео!  https://knd.gov.ru/license?id=673d9c7fb7aeb106ce0a0a45&registryType=bloggersPermission",30.0,,,
9,23579255,AfterShock.News,Новости и СМИ,"Первый месяц сотрудничества всегда бесплатный.
Ссылка на МАКО в описании
https://mako.expert/ «МАКО.Эксперт» — первый в России бухгалтерский конвейер. Бухгалтерия, как у крупных корпораций, доступная для любых форм бизнеса./

РЕКЛАМА, ООО ""НЕВА-ФИНАНС"", ИНН 7816600904 ERID:2W5zFH1REQx

https://aftershock.news/ - Главный сайт проекта
Сбербанк МИР: 2202 2081 0629 7196
https://boosty.to/brekotins
https://rutube.ru/channel/23579255/ - RuTube
https://t.me/sbrekotin - ТГ
https://zen.yandex.ru/aftershock - видео - Дзен-лента АШ-Live (видео)
https://zen.yandex.ru/aftershock.news -  Дзен-лента АШ
RuTube: https://rutube.ru/channel/32774478/
По вопросу размещения рекламных интеграций - обращайтесь на email agent_aftershock@mail.ru

Идеальный момент настал: прибалты наконец жестоко отомстят России за все / Министр финансов Эстонии: Я призываю все страны не брать под козырек после каждого высказывания Трампа / Трамп обратится к Саудовской Аравии с просьбой инвестировать $1 трлн в США за ""хорошее отношение"" / Безработица в США выросла до максимума за 3 года / CNN уволит «сотни» сотрудников в первые дни второго президентского срока Трампа / Замгенсека НАТО: ""Если Запад не будет тратить “больше и лучше”, он рискует отстать от России"" / Глория Джинс закрывает швейную фабрику в г. Шахты
 
00:00 Сегодня в выпуске
00:46 Прибалты наконец жестоко отомстят России за все
02:23 Реклама
03:56 Министр финансов Эстонии: Я призываю все страны не брать под козырек после каждого высказывания Трампа 
06:11 Трамп обратится к Саудовской Аравии 
07:10 Безработица в США выросла
08:40  CNN уволит «сотни» сотрудников в первые дни второго президентского срока Трампа
10:34  Замгенсека НАТО: ""Если Запад не будет тратить “больше и лучше”, он рискует отстать от России""
13:37 Глория Джинс закрывает швейную фабрику в г. Шахты
 
Спасибо авторам АфтерШок, чьи статьи и материалы использовались в видео: 
кухарка, Octane, Mike1975, Александр_С, Reconquistador, хам63
 
В видео использованы следующие материалы:
https://dzen.ru/a/Z5Rxv46bG07jLl8j
https://aftershock.news/?q=node/1468133
https://aftershock.news/?q=node/1467713
https://aftershock.news/?q=node/1467601
https://aftershock.news/?q=node/1467539
https://aftershock.news/?q=node/1467806
https://aftershock.news/?q=node/1468080

#Брекотин #новости #афтершок #AfterShock",948,22878,2025-01-29T08:09:51,Идеальный момент настал: прибалты наконец жестоко отомстят России за все|AfterShock.news,https://rutube.ru/video/ac68985bfd32c65fb2d78298b2103093/,23579255.0,54398.0,"https://knd.gov.ru/license?id=6789166a506f967728110120&registryType=bloggersPermission  № 5007534747 Это номер заявления.  В РКН Видео-дайджесты AfterShock.News - коротко о наиболее существенных и интересных новостях. Наш канал свободен в редакторской политике, так как нет спонсоров и живем за свой счет.  По вопросу размещения рекламных интеграций - обращайтесь на email agent_aftershock@mail.ru.   aftershock.news https://zen.yandex.ru/aftershock.news https://twitter.com/fromAftershock RSS - http://feeds.feedburner.com/aftershock/aftershock  Поддержать автора канала можно переводом на карту Сбербанк Visa: 4279 5000 1266 8062 Яндекс Кошелек 410011811989191",1799.0,https://rutube.ru/video/ac68985bfd32c65fb2d78298b2103093/,2893.0,135.0
